3 feet, 33 feet, 17 feet, 12 feet, 12 feet, 8 feet # REMOVE THIS LINE BEFORE PROCESSING
Date,High,Med,Low
2016/04/05 18:18:45,15474,42781,36364
2016/04/05 18:18:56,15157,39274,38750
2016/04/05 18:19:07,13100,37808,42328
2016/04/05 18:19:18,12742,38920,41467
2016/04/05 18:19:33,22372,26800,43928
2016/04/05 18:19:44,9210,41122,41242
2016/04/05 18:19:55,12566,38838,42885
2016/04/05 18:20:06,8920,41574,42591
2016/04/05 18:20:17,10364,34563,38697
2016/04/05 18:20:28,12220,36848,44044
2016/04/05 18:20:39,18962,29216,44880
2016/04/05 18:20:50,19991,29226,43710
2016/04/05 18:21:01,5751,48836,38176
2016/04/05 18:21:12,14636,36787,41211
2016/04/05 18:21:23,9118,42939,40848
2016/04/05 18:21:34,9447,42955,40429
2016/04/05 18:21:47,8894,43179,40800
2016/04/05 18:21:58,15031,36418,41673
2016/04/05 18:22:09,5563,48208,39207
2016/04/05 18:22:20,4695,48354,39165
2016/04/05 18:22:31,50772,13696,28434
2016/04/05 18:22:44,66175,2617,24090
2016/04/05 18:22:55,61583,2692,24809
2016/04/05 18:23:06,59355,2806,25900
2016/04/05 18:23:17,47889,13708,32520
2016/04/05 18:23:28,6284,33394,43762
2016/04/05 18:23:39,19989,23259,49553
2016/04/05 18:23:50,18629,24931,48748
2016/04/05 18:24:01,13233,29609,49948
2016/04/05 18:24:15,13932,30465,48444
2016/04/05 18:24:26,6780,32370,45740
2016/04/05 18:24:39,26282,21574,44797
2016/04/05 18:24:50,6989,35510,50529
2016/04/05 18:25:01,8919,34443,49421
2016/04/05 18:25:12,20926,23913,47729
2016/04/05 18:25:28,39648,6375,47056
2016/04/05 18:25:45,40808,5861,47426
2016/04/05 18:25:56,40435,5809,46631
2016/04/05 18:26:12,40100,6225,46403
2016/04/05 18:26:23,37210,8492,46958
2016/04/05 18:26:34,7049,32832,48919
2016/04/05 18:26:45,14374,28009,51710
2016/04/05 18:27:01,40100,7672,45404
2016/04/05 18:27:12,43341,4584,44185
2016/04/05 18:27:23,41170,4453,43260
2016/04/05 18:27:34,42907,4808,44831
2016/04/05 18:27:46,43410,4991,45594
2016/04/05 18:27:57,41848,5512,45388
2016/04/05 18:28:08,11478,30780,50456
2016/04/05 18:28:19,19672,24713,48303
2016/04/05 18:28:30,9818,35432,47313
2016/04/05 18:28:41,18463,29794,43434
2016/04/05 18:28:53,34616,19334,38602
2016/04/05 18:29:05,47132,4415,41966
2016/04/05 18:29:16,45919,4479,43613
2016/04/05 18:29:27,43113,3703,36485
2016/04/05 18:29:38,47783,4149,40781
2016/04/05 18:29:49,45933,4405,42370
2016/04/05 18:30:00,17143,33902,41588
2016/04/05 18:30:11,45712,4447,42421
2016/04/05 18:30:22,46181,4218,42224
2016/04/05 18:30:33,45547,4245,42764
2016/04/05 18:30:44,44781,4303,43383
2016/04/05 18:30:55,42937,4298,41343
2016/04/05 18:31:08,43335,5733,43327
2016/04/05 18:31:19,8842,45606,38425
2016/04/05 18:31:30,13442,37115,42131
2016/04/05 18:31:41,11717,38518,42285
2016/04/05 18:31:52,5044,55065,31724
2016/04/05 18:32:03,7886,46789,36829
2016/04/05 18:32:14,11362,42542,38454
2016/04/05 18:32:31,25035,31328,37653
2016/04/05 18:32:42,48268,3826,40554
2016/04/05 18:32:53,49471,3778,38538
2016/04/05 18:33:04,48114,4049,39692
2016/04/05 18:33:15,48841,3992,39834
2016/04/05 18:33:26,47894,4024,40103
2016/04/05 18:33:37,21800,28732,41965
2016/04/05 18:33:48,15863,29814,46154
2016/04/05 18:33:59,8242,28954,45731
2016/04/05 18:34:10,12593,29078,50751
2016/04/05 18:34:22,10110,31184,51048
2016/04/05 18:34:33,22190,21719,48896
2016/04/05 18:34:44,32416,13010,47209
2016/04/05 18:34:55,27348,12833,42958
2016/04/05 18:35:06,14873,27056,50042
2016/04/05 18:35:22,25202,19179,48580
2016/04/05 18:35:33,7324,32238,54453
2016/04/05 18:35:49,29796,15115,48141
2016/04/05 18:36:00,30443,14267,47732
2016/04/05 18:36:11,30049,14690,47597
2016/04/05 18:36:24,27282,16600,48068
2016/04/05 18:36:35,28671,15674,48276
2016/04/05 18:36:46,20670,21189,50636
2016/04/05 18:36:57,9101,28149,55145
2016/04/05 18:37:08,18817,21689,50027
2016/04/05 18:37:21,22342,21047,48719
2016/04/05 18:37:32,26616,15464,46312
2016/04/05 18:37:43,19210,19461,44111
2016/04/05 18:37:55,24121,17090,45551
2016/04/05 18:38:06,21854,21360,49290
2016/04/05 18:38:17,10581,24614,47689
2016/04/05 18:38:28,16386,24236,51839
2016/04/05 18:38:39,13024,26290,52892
2016/04/05 18:38:53,17585,22999,51557
2016/04/05 18:39:04,13584,24766,51653
2016/04/05 18:39:16,8348,28407,55381
2016/04/05 18:39:27,5054,28198,49389
2016/04/05 18:39:38,16640,23515,52365
2016/04/05 18:39:49,12880,27133,52423
2016/04/05 18:40:00,13294,25751,53360
2016/04/05 18:40:14,9299,26965,55415
2016/04/05 18:40:25,11291,26726,53394
2016/04/05 18:40:37,9135,27868,55057
2016/04/05 18:40:48,7052,27152,49025
2016/04/05 18:40:59,9057,28318,55163
2016/04/05 18:41:10,9521,28869,54038
2016/04/05 18:41:21,20349,20732,51242
2016/04/05 18:41:35,13580,24606,53264
2016/04/05 18:41:47,18523,23143,51107
2016/04/05 18:41:58,8322,29613,55965
2016/04/05 18:42:09,9753,24463,48878
2016/04/05 18:42:20,11076,26930,54386
2016/04/05 18:42:31,14098,25900,52204
2016/04/05 18:42:42,15266,25023,52145
2016/04/05 18:42:56,20733,20198,50364
2016/04/05 18:43:07,10104,25246,50472
2016/04/05 18:43:18,8672,28222,55079
2016/04/05 18:43:29,8441,28964,56487
2016/04/05 18:43:40,11288,22496,49329
2016/04/05 18:43:51,36138,15563,40796
2016/04/05 18:44:02,20208,23356,48846
2016/04/05 18:44:13,10804,27580,54041
2016/04/05 18:44:24,6608,29635,51334
2016/04/05 18:44:37,8835,29275,53764
2016/04/05 18:44:48,9950,26615,50185
2016/04/05 18:45:01,3670,33188,55064
2016/04/05 18:45:12,8821,30035,53750
2016/04/05 18:45:23,8547,30300,53371
2016/04/05 18:45:33,17950,29265,44731
2016/04/05 18:45:43,7033,27937,48430
2016/04/05 18:45:54,10426,39645,42345
2016/04/05 18:46:05,6792,44194,41330
2016/04/05 18:46:16,9497,37395,38853
2016/04/05 18:46:27,17771,30733,43658
2016/04/05 18:46:40,16056,32942,43078
2016/04/05 18:46:51,10450,40108,41703
2016/04/05 18:47:03,11324,39177,43418
2016/04/05 18:47:19,14770,36342,41512
2016/04/05 18:47:30,15499,33802,42748
2016/04/05 18:47:41,9609,41563,40834
2016/04/05 18:47:53,15529,34262,41991
2016/04/05 18:48:04,14973,34913,42616
2016/04/05 18:48:15,9706,40618,41943
2016/04/05 18:48:26,4280,47051,41032
2016/04/05 18:48:37,11204,39521,41490
2016/04/05 18:48:48,9458,35658,37646
2016/04/05 18:48:59,12438,37610,42057
2016/04/05 18:49:12,14973,34501,42578
2016/04/05 18:49:23,15715,33567,42508
2016/04/05 18:49:34,14757,35776,43358
2016/04/05 18:49:45,15116,33837,43261
2016/04/05 18:49:56,14934,34304,42525
2016/04/05 18:50:07,8645,35766,36842
2016/04/05 18:50:18,2056,51071,38995
2016/04/05 18:50:32,14195,34567,42070
2016/04/05 18:50:43,11243,35585,39660
2016/04/05 18:50:56,20284,28200,43249
2016/04/05 18:51:07,14106,36814,41591
2016/04/05 18:51:18,19194,30702,42525
2016/04/05 18:51:29,15115,34892,42241
2016/04/05 18:51:40,6849,44044,41269
2016/04/05 18:51:54,18135,31456,42457
2016/04/05 18:52:07,18867,30823,42790
2016/04/05 18:52:18,18310,25604,39242
2016/04/05 18:52:29,11437,39426,41467
2016/04/05 18:52:40,14033,36727,41558
2016/04/05 18:52:51,14522,35142,42469
2016/04/05 18:53:02,13722,35961,42329
2016/04/05 18:53:13,12797,37231,42018
2016/04/05 18:53:24,9292,41360,41137
2016/04/05 18:53:35,14183,35439,42157
2016/04/05 18:53:46,11139,39010,41757
2016/04/05 18:53:59,16651,32809,42159
2016/04/05 18:54:10,14546,36533,41364
2016/04/05 18:54:21,21622,27236,43389
2016/04/05 18:54:32,12971,35716,43387
2016/04/05 18:54:46,13660,35107,43236
2016/04/05 18:54:58,11123,38341,43615
2016/04/05 18:55:10,14780,34573,44410
2016/04/05 18:55:21,11272,38059,42875
2016/04/05 18:55:32,15514,32604,43921
2016/04/05 18:55:43,19821,27993,44186
2016/04/05 18:55:57,16543,32314,43097
2016/04/05 18:56:08,14856,31186,41077

